Manufacturer,Model,Titel,Date,Model/Type,Price,Currency,Website,Date_scraped,Type,Subtype,Group,Config,Storage,Storage Size (L),Rated Power low T [kW],Rated Power medium T [kW],Refrigerant,Mass of Refrigerant [kg],SPL indoor low Power [dBA],SPL outdoor low Power [dBA],SPL indoor high Power [dBA],SPL outdoor high Power [dBA],Bivalence temperature [°C],Tolerance temperature [°C],Max. water heating temperature [°C],Power heating rod low T [kW],Power heating rod medium T [kW],Poff [W],PTOS [W],PSB [W],PCKS [W],eta low T [%],eta medium T [%],SCOP,SEER low T,SEER medium T,P_th_h_ref [W],P_th_c_ref [W],P_el_h_ref [W],P_el_c_ref [W],COP_ref,EER_c_ref,Cluster
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R ECH2O 11-16kW (500L),ERLA11DW1 / EBSX(B)11P50D,23.11.2021,Daikin Altherma 3 R ECH2O Set ERLA11DW1 + EBSX11P50D Wärmepumpe + Hydromodul mit Speicher 500 Liter,9199.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,10.0,10.0,R32,"3,800 kg",44.7,62.0,44.7,62.0,-8.0,-10.0,35.0,1.6,3.2,23.0,23.0,23.0,0.0,186.0,128.0,4.72,5.92,,7900.0,11000.0,4180.0,3448.0,1.89,3.19,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R ECH2O 11-16kW (500L),ERLA14DW1 / EBSH(B)16P50D,23.11.2021,Daikin Altherma 3 R ECH2O Set ERLA14DW1 + EBSH16P50D Wärmepumpe + Hydromodul mit Speicher 500 Liter,9899.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,11.0,11.0,R32,"3,800 kg",49.0,62.0,49.0,62.0,-7.0,-10.0,35.0,1.9,4.0,23.0,23.0,23.0,0.0,181.0,126.0,4.6,5.86,,8500.0,12900.0,4722.0,4358.0,1.8,2.96,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R ECH2O 11-16kW (500L),ERLA14DW1 / EBSX(B)16P50D,23.11.2021,Daikin Altherma 3 R ECH2O Set ERLA14DW1 + EBSXB16P50D Wärmepumpe + Hydromodul/Speicher 500L bivalenz,9029.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,11.0,11.0,R32,"3,800 kg",49.0,62.0,49.0,62.0,-7.0,-10.0,35.0,1.9,4.0,23.0,23.0,23.0,0.0,184.0,128.0,4.68,5.86,,8500.0,12900.0,4722.0,4358.0,1.8,2.96,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R ECH2O 11-16kW (500L),ERLA16DW1 / EBSH(B)16P50D,23.11.2021,Daikin Altherma 3 R ECH2O Set ERLA16DW17 + EBSH16P50D Wärmepumpe + Hydromodul mit Speicher 500 Liter,9929.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,12.0,12.0,R32,"3,800 kg",49.0,62.0,49.0,62.0,-8.0,-10.0,35.0,1.4,6.1,23.0,23.0,23.0,0.0,181.0,130.0,4.61,5.76,,9400.0,13600.0,4821.0,4722.0,1.95,2.88,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R ECH2O 11-16kW (500L),ERLA16DW1 / EBSX(B)16P50D,23.11.2021,Daikin Altherma 3 R ECH2O Set ERLA16DW17 + EBSXB16P50D Wärmepumpe+Hydromodul/Speicher 500L bivalenz,9779.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,12.0,12.0,R32,"3,800 kg",49.0,62.0,49.0,62.0,-8.0,-10.0,35.0,1.4,6.1,23.0,23.0,23.0,0.0,184.0,131.0,4.68,5.76,,9400.0,13600.0,4821.0,4722.0,1.95,2.88,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R ECH2O 11-16kW (500L),ERLA16DW17 / EBSH(B)16P50D,23.11.2021,Daikin Altherma 3 R ECH2O Set ERLA16DW17 + EBSH16P50D Wärmepumpe + Hydromodul mit Speicher 500 Liter,9929.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,12.0,12.0,R32,"3,800 kg",49.0,62.0,49.0,62.0,-8.0,-10.0,35.0,1.4,6.1,23.0,23.0,23.0,0.0,181.0,130.0,4.61,5.76,,9400.0,13600.0,4821.0,4722.0,1.95,2.88,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R ECH2O 11-16kW (500L),ERLA16DW17 / EBSX(B)16P50D,23.11.2021,Daikin Altherma 3 R ECH2O Set ERLA16DW17 + EBSXB16P50D Wärmepumpe+Hydromodul/Speicher 500L bivalenz,9779.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,12.0,12.0,R32,"3,800 kg",49.0,62.0,49.0,62.0,-8.0,-10.0,35.0,1.4,6.1,23.0,23.0,23.0,0.0,184.0,131.0,4.68,5.76,,9400.0,13600.0,4821.0,4722.0,1.95,2.88,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 06KW (230L),ERGA06EV / EHVX08S23E6V(G),22.11.2017,Daikin Altherma 3 R F Set ERGA06EVH + EHVX08S23E6V Wärmepumpe + Hydrobox/Heizstab 6 kW/Speicher 230L,7599.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,230.0,7.0,7.0,R32,"1,500 kg",42.0,60.0,42.0,60.0,-6.0,-10.0,35.0,1.0,1.6,10.0,10.0,10.0,0.0,178.0,128.0,4.52,5.73,,5900.0,5090.0,2980.0,1552.0,1.98,3.28,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 08KW (230L),ERGA08EV / EHVX08S23E6V(G),22.11.2017,Daikin Altherma 3 R F Set ERGA08EVH7 + EHVX08S23E6V Wärmepumpe + Hydrobox/Heizstab 6kW/Speicher 230L,8299.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,230.0,8.0,8.0,R32,"1,500 kg",42.0,62.0,42.0,62.0,-8.0,-10.0,35.0,1.1,0.9,10.0,10.0,10.0,0.0,181.0,131.0,4.61,5.71,,6900.0,5440.0,3520.0,1732.0,1.96,3.14,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 08KW (230L),ERGA08EV / EHVX08S23E9W,22.11.2017,Daikin Altherma 3 R F EHVX08S23E9W+ERGA08EVH7 8kW+230L H+K,11571.0,EUR,idealo,2025-03-14,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,230.0,8.0,8.0,R32,"1,500 kg",42.0,62.0,42.0,62.0,-8.0,-10.0,35.0,1.1,0.9,10.0,10.0,10.0,0.0,181.0,131.0,4.61,5.71,,6900.0,5440.0,3520.0,1732.0,1.96,3.14,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 4KW (230L) (/A),ERGA04EV(A) / EHVX04S23E6V(G),26.03.2018,Daikin Altherma 3 R F Set ERGA04EV7 + EHVX04S23E6V Wärmepumpe + Hydrobox/Heizstab 6 kW/Speicher 230L,7854.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,230.0,6.0,6.0,R32,"1,500 kg",42.0,58.0,42.0,58.0,-7.0,-10.0,35.0,0.8,2.0,10.0,10.0,8.0,0.0,179.0,129.0,4.54,5.66,,5300.0,4520.0,2690.0,1361.0,1.97,3.32,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 06KW (180L),ERGA06EV / EHVX08S18E6V(G),22.11.2017,Daikin Altherma 3 R F Set ERGA06EVH + EHVX08S18E6V Wärmepumpe + Hydrobox/Heizstab 6 kW/Speicher 180L,6679.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,180.0,7.0,7.0,R32,"1,500 kg",42.0,60.0,42.0,60.0,-6.0,-10.0,35.0,1.0,1.6,10.0,10.0,10.0,0.0,178.0,128.0,4.52,5.73,,5900.0,5090.0,2980.0,1552.0,1.98,3.28,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 08KW (180L),ERGA08EV / EHVX08S18E6V(G),22.11.2017,Daikin Altherma 3 R F Set ERGA08EVH7 + EHVX08S18E6V Wärmepumpe + Hydrobox/Heizstab 6kW/Speicher 180L,8099.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,180.0,8.0,8.0,R32,"1,500 kg",42.0,62.0,42.0,62.0,-8.0,-10.0,35.0,1.1,0.9,10.0,10.0,10.0,0.0,181.0,131.0,4.61,5.71,,6900.0,5440.0,3520.0,1732.0,1.96,3.14,0
 DAIKIN Europe N.V.,Daikin Altherma 3 R MT ECH2O 08-12 kW (300L),ERRA08EW1 / ELSX(B)12P30E,01.08.2023,Daikin Altherma 3 R MT ECH2O ERRA08EW1 + ELSX12P30E Hydromodul mit Speicher 300L | 8.0 kW | WiFi,9429.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,8.3,12.5,R32,"3,250 kg",44.7,56.0,44.7,56.0,-7.0,-10.0,35.0,1.4,5.6,27.0,24.0,27.0,0.0,195.0,136.0,4.95,5.42,,7600.0,6810.0,3248.0,2076.0,2.34,3.28,0
 DAIKIN Europe N.V.,Daikin Altherma 3 R MT ECH2O 08-12 kW (300L),ERRA10EW1 / ELSX(B)12P30E,01.08.2023,Daikin Altherma 3 R MT ECH2O ERRA10EW1 + ELSX12P30E Hydromodul mit Speicher 300L | 10.0 kW | WiFi,10389.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,8.3,12.5,R32,"3,250 kg",44.7,56.0,44.7,56.0,-10.0,-10.0,35.0,0.0,4.3,27.0,24.0,27.0,0.0,196.0,136.0,4.98,5.41,,7600.0,7970.0,3248.0,2571.0,2.34,3.1,0
 DAIKIN Europe N.V.,Daikin Altherma 3 R MT ECH2O 08-12 kW (300L),ERRA12EW1 / ELSX(B)12P30E,01.08.2023,Daikin Altherma 3 R MT ECH2O ERRA12EW1 + ELSX12P30E Hydromodul mit Speicher 300L | 12.0 kW | WiFi,11129.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,8.3,12.5,R32,"3,250 kg",44.7,56.0,44.7,56.0,-10.0,-10.0,35.0,0.0,4.3,27.0,24.0,27.0,0.0,196.0,140.0,4.98,5.41,,7600.0,8620.0,3248.0,2864.0,2.34,3.01,0
 DAIKIN Europe N.V.,Daikin Altherma 3 R MT ECH2O 08-12 kW (500L),ERRA08EW1 / ELSX(B)12P50E,01.08.2023,Daikin Altherma 3 R MT ECH2O ERRA08EW1 + ELSX12P50E Hydromodul mit Speicher 500L | 8.0 kW | WiFi,10019.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,8.3,12.5,R32,"3,250 kg",44.7,56.0,44.7,56.0,-7.0,-10.0,35.0,1.4,5.6,27.0,24.0,27.0,0.0,195.0,136.0,4.95,5.42,,7600.0,6810.0,3248.0,2076.0,2.34,3.28,0
 DAIKIN Europe N.V.,Daikin Altherma 3 R MT ECH2O 08-12 kW (500L),ERRA10EW1 / ELSX(B)12P50E,01.08.2023,Daikin Altherma 3 R MT ECH2O ERRA10EW1 + ELSX12P50E Hydromodul mit Speicher 500L | 10.0 kW | WiFi,10989.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,8.3,12.5,R32,"3,250 kg",44.7,56.0,44.7,56.0,-10.0,-10.0,35.0,0.0,4.3,27.0,24.0,27.0,0.0,196.0,136.0,4.98,5.41,,7600.0,7970.0,3248.0,2571.0,2.34,3.1,0
 DAIKIN Europe N.V.,Daikin Altherma 3 R MT ECH2O 08-12 kW (500L),ERRA12EW1 / ELSX(B)12P50E,01.08.2023,Daikin Altherma 3 R MT ECH2O ERRA12EW1 + ELSX12P50E Hydromodul mit Speicher 500L | 12.0 kW | WiFi,11729.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,8.3,12.5,R32,"3,250 kg",44.7,56.0,44.7,56.0,-10.0,-10.0,35.0,0.0,4.3,27.0,24.0,27.0,0.0,196.0,140.0,4.98,5.41,,7600.0,8620.0,3248.0,2864.0,2.34,3.01,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R W/F 4KW (180L) (/A),ERGA04EV / EHBH04E6V + cooling kit,11.06.2018,"Daikin Altherma 3 R W Set ERGA04EV7 + EHBH04E6V WiFi Wärmepumpe + Hydromodul 4,5 kW + Heizstab 6 kW",5699.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,6.0,6.0,R32,"1,500 kg",42.0,58.0,42.0,58.0,-7.0,-10.0,35.0,0.8,2.0,10.0,10.0,8.0,0.0,176.0,127.0,4.48,5.66,,5300.0,4520.0,2690.0,1361.0,1.97,3.32,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R W/F 4KW (180L) (/A),ERGA04EV(A) / EHBH04E6V,11.06.2018,"Daikin Altherma 3 R W Set ERGA04EV7 + EHBH04E6V WiFi Wärmepumpe + Hydromodul 4,5 kW + Heizstab 6 kW",5699.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,6.0,6.0,R32,"1,500 kg",42.0,58.0,42.0,58.0,-7.0,-10.0,35.0,0.8,2.0,10.0,10.0,8.0,0.0,179.0,129.0,4.54,5.66,,5300.0,4520.0,2690.0,1361.0,1.97,3.32,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R W/F 4KW (180L) (/A),ERGA04EV(A) / EHBX04E6V,11.06.2018,"Daikin Altherma 3 R W Set 4,5 kW (Heizen / Kühlen), Außeneinheit + Inneneinheit, EHBX04E6V-ERGA04EV",6178.0,€,raleo,2025-02-21,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,6.0,6.0,R32,"1,500 kg",42.0,58.0,42.0,58.0,-7.0,-10.0,35.0,0.8,2.0,10.0,10.0,8.0,0.0,179.0,129.0,4.54,5.66,,5300.0,4520.0,2690.0,1361.0,1.97,3.32,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R W/F 4KW (180L) (/A),ERGA04EV(A) / EHVX04S18E6V(G),11.06.2018,Daikin Altherma 3 R F Set ERGA04EV7 + EHVX04S18E6V Wärmepumpe + Hydrobox/Heizstab 6 kW/Speicher 180L,7599.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,180.0,6.0,6.0,R32,"1,500 kg",42.0,58.0,42.0,58.0,-7.0,-10.0,35.0,0.8,2.0,10.0,10.0,8.0,0.0,179.0,129.0,4.54,5.66,,5300.0,4520.0,2690.0,1361.0,1.97,3.32,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 4 H ECH2O 06-10 kW 300L (1ph),EPSK06AV3 / EPSX(B)10P30A,05.12.2024,Daikin Altherma 4 H ECH2O Set EPSK-06AV3 + EPSX-10P30A Hydrobox/Speicher 300L WiFi R290 Heistab 9 kW,12299.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,300.0,6.5,6.5,R290,"1,000 kg",49.0,45.0,49.0,45.0,-7.0,-10.0,35.0,0.7,0.29,21.0,21.0,21.0,0.0,202.0,153.0,5.12,5.38,,5700.0,6000.0,2151.0,1550.0,2.65,3.87,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 4 H ECH2O 06-10 kW 500L (1ph),EPSK06AV3 / EPSX(B)10P50A,05.12.2024,Daikin Altherma 4 H ECH2O Set EPSK-06AV3 + EPSX-10P50A Hydrobox/Speicher 500L WiFi R290 Heistab 9 kW,12999.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,500.0,6.5,6.5,R290,"1,000 kg",49.0,45.0,49.0,45.0,-7.0,-10.0,35.0,0.7,0.29,21.0,21.0,21.0,0.0,202.0,153.0,5.12,5.38,,5700.0,6000.0,2151.0,1550.0,2.65,3.87,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 4 H ECH2O 08-10 kW 300L (3ph),EPSK08AW1 / EPSX(B)10P30A,05.12.2024,Daikin Altherma 4 H ECH2O Set EPSK-08AW1 + EPSX-10P30A Hydrobox/Speicher 300L WiFi R290 Heistab 9 kW,12999.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,300.0,7.5,7.5,R290,"1,000 kg",49.0,45.0,49.0,45.0,-10.0,-10.0,35.0,0.0,0.8,23.0,29.0,23.0,0.0,202.0,155.0,5.14,5.26,,6600.0,6910.0,2500.0,1838.0,2.64,3.76,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 4 H ECH2O 08-10 kW 300L (3ph),EPSK10AW1 / EPSX(B)10P30A,05.12.2024,Daikin Altherma 4 H ECH2O Set EPSK-10AW1 + EPSX-10P30A Hydrobox/Speicher 300L WiFi R290 Heistab 9 kW,15399.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,300.0,8.5,8.5,R290,"1,000 kg",49.0,47.0,49.0,47.0,-10.0,-10.0,35.0,0.0,1.8,23.0,29.0,23.0,0.0,203.0,157.0,5.14,5.23,,7400.0,7840.0,2824.0,2166.0,2.62,3.62,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 4 H ECH2O 08-10 kW 500L (3ph),EPSK08AW1 / EPSX(B)10P50A,05.12.2024,Daikin Altherma 4 H ECH2O Set EPSK-08AW1 + EPSX-10P50A Hydrobox/Speicher 500L WiFi R290 Heistab 9 kW,13699.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,500.0,7.5,7.5,R290,"1,000 kg",49.0,45.0,49.0,45.0,-10.0,-10.0,35.0,0.0,0.8,23.0,29.0,23.0,0.0,202.0,155.0,5.14,5.26,,6600.0,6910.0,2500.0,1838.0,2.64,3.76,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 4 H ECH2O 08-10 kW 500L (3ph),EPSK10AW1 / EPSX(B)10P50A,05.12.2024,Daikin Altherma 4 H ECH2O Set EPSK-10AW1 + EPSX-10P50A Hydrobox/Speicher 500L WiFi R290 Heistab 9 kW,15999.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,500.0,8.5,8.5,R290,"1,000 kg",49.0,47.0,49.0,47.0,-10.0,-10.0,35.0,0.0,1.8,23.0,29.0,23.0,0.0,203.0,157.0,5.14,5.23,,7400.0,7840.0,2824.0,2166.0,2.62,3.62,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 4 H ECH2O 12-14 kW 300L (3ph),EPSK12AW1 / EPSX(B)14P30A,05.12.2024,Daikin Altherma 4 H ECH2O Set EPSK-12AW1 + EPSX-14P30A Hydrobox/Speicher 300L WiFi R290 Heistab 9 kW,16799.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,300.0,10.0,10.5,R290,"1,250 kg",49.0,52.0,49.0,52.0,-10.0,-10.0,35.0,0.0,0.0,22.0,22.0,22.0,0.0,203.0,159.0,5.14,5.08,,9400.0,9370.0,3574.0,2639.0,2.63,3.55,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 4 H ECH2O 12-14 kW 500L (3ph),EPSK12AW1 / EPSX(B)14P50A,05.12.2024,Daikin Altherma 4 H ECH2O Set EPSK-12AW1 + EPSX-14P50A Hydrobox/Speicher 500L WiFi R290 Heistab 9 kW,17499.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,500.0,10.0,10.5,R290,"1,250 kg",49.0,52.0,49.0,52.0,-10.0,-10.0,35.0,0.0,0.0,22.0,22.0,22.0,0.0,203.0,159.0,5.14,5.08,,9400.0,9370.0,3574.0,2639.0,2.63,3.55,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 4 H F 12-14 kW 230L (3ph),EPSK12AW1 / EPVX14S23A(4V9W),05.12.2024,Daikin Altherma 4 H F Set EPSK-12AW1 + EPVX-14S23A9W Wärmepumpe+Hydromodul/Speicher 230 Liter | R290,16739.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,230.0,10.0,10.5,R290,"1,250 kg",45.0,52.0,45.0,52.0,-10.0,-10.0,35.0,0.0,0.0,22.0,22.0,22.0,0.0,203.0,159.0,5.14,5.08,,9400.0,9370.0,3574.0,2639.0,2.63,3.55,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 4 H W+F 12-14 kW 180L (3ph),EPSK12AW1 / EPVX14S18A(4V9W),05.12.2024,Daikin Altherma 4 H F Set EPSK-12AW1 + EPVX-14S18A9W Wärmepumpe+Hydromodul/Speicher 180 Liter | R290,16499.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,180.0,10.0,10.5,R290,"1,250 kg",45.0,52.0,45.0,52.0,-10.0,-10.0,35.0,0.0,0.0,22.0,22.0,22.0,0.0,203.0,159.0,5.14,5.08,,9400.0,9370.0,3574.0,2639.0,2.63,3.55,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R 7 ECH2O 04KW (300L),ERGA04EV7 / EHSX(B)04P30E,09.04.2020,Daikin Altherma 3 R 07 Heizen & Kühlen 1-phasig 230V weiß (ERGA04EV7) & Daikin Altherma 3 R ECH2O 304 H/C Biv Leistung 4 kW Heizen & Kühlen mit integriertem 300 Liter Wärmespeicher weiß (EHSXB04P30E),6374.0,EUR (1965.00 EUR & 4409.00 EUR),idealo & idealo,2025-03-14 & 2025-03-14,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,6.0,6.0,R32,"1,500 kg",39.0,58.0,39.0,58.0,-7.0,-10.0,35.0,0.8,2.0,10.0,10.0,10.0,0.0,195.0,129.0,4.96,,,5300.0,,2690.0,,1.97,,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R 7 F 4KW (230L) ,ERGA04EV7 / EHVH04S23E6V,09.04.2020,Daikin Altherma 3 R 07 Heizen & Kühlen 1-phasig 230V weiß (ERGA04EV7) & Daikin Altherma 3 R F 4kW + 230 L (Altherma-EHVH04S23E6V),9639.0,EUR (1965.00 EUR & 7674.00 EUR),idealo & idealo,2025-03-14 & 2025-03-14,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,230.0,6.0,6.0,R32,"1,500 kg",42.0,58.0,42.0,58.0,-7.0,-10.0,35.0,0.8,2.0,10.0,10.0,10.0,0.0,192.0,127.0,4.88,5.66,,5300.0,4520.0,2690.0,1361.0,1.97,3.32,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R 7 F/W 4KW (180L),ERGA04EV7 / EHVH04S18E6V,09.04.2020,Daikin Altherma 3 R 07 Heizen & Kühlen 1-phasig 230V weiß (ERGA04EV7) & Daikin Altherma 3 R F 4kW H+K (EHVH04S18E6V),6419.0,EUR (1965.00 EUR & 4454.00 EUR),idealo & idealo,2025-03-14 & 2025-03-14,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,180.0,6.0,6.0,R32,"1,500 kg",42.0,58.0,42.0,58.0,-7.0,-10.0,35.0,0.8,2.0,10.0,10.0,10.0,0.0,192.0,127.0,4.88,5.66,,5300.0,4520.0,2690.0,1361.0,1.97,3.32,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R ECH2O 04KW (300L) (/A),ERGA04EV / EHSX(B)04P30E,17.08.2018,Daikin Altherma 3 R 07 Heizen & Kühlen 1-phasig 230V weiß (ERGA04EV7) & Daikin Altherma 3 R ECH2O 304 H/C Biv Leistung 4 kW Heizen & Kühlen mit integriertem 300 Liter Wärmespeicher weiß (EHSXB04P30E),6374.0,EUR (1965.00 EUR & 4409.00 EUR),idealo & idealo,2025-03-14 & 2025-03-14,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,6.0,6.0,R32,"1,500 kg",39.0,58.0,39.0,58.0,-7.0,-10.0,35.0,0.8,2.0,10.0,10.0,10.0,0.0,179.0,129.0,4.54,5.66,,5300.0,4520.0,2690.0,1361.0,1.97,3.32,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R ECH2O 08KW (500L) (/A),ERGA08EVH / EHSH(B)08P50E,17.08.2018,Daikin Altherma 3 R 8 kW Heizen & Kühlen 1-phasig 230V weiß (ERGA08EVH7) & Daikin Altherma 3 R 6-8kW (EHSHB08P50E),8229.0,EUR (2495.00 EUR & 5734.00 EUR),idealo & idealo,2025-03-14 & 2025-03-14,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,8.0,8.0,R32,"1,500 kg",39.0,62.0,39.0,62.0,-8.0,-10.0,35.0,1.1,0.94,10.0,10.0,10.0,0.0,179.0,130.0,4.56,5.71,,6900.0,5440.0,3520.0,1732.0,1.96,3.14,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R ECH2O 08KW (500L) (/A),ERGA08EVH7 / EHSH(B)08P50E,17.08.2018,Daikin Altherma 3 R 8 kW Heizen & Kühlen 1-phasig 230V weiß (ERGA08EVH7) & Daikin Altherma 3 R 6-8kW (EHSHB08P50E),8229.0,EUR (2495.00 EUR & 5734.00 EUR),idealo & idealo,2025-03-14 & 2025-03-14,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,500.0,8.0,8.0,R32,"1,500 kg",39.0,62.0,39.0,62.0,-8.0,-10.0,35.0,1.1,0.94,10.0,10.0,10.0,0.0,179.0,130.0,4.56,5.71,,6900.0,5440.0,3520.0,1732.0,1.96,3.14,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 4KW (230L) (/A),ERGA04EV / EHVH04S23E6V + cooling kit,26.03.2018,Daikin Altherma 3 R 07 Heizen & Kühlen 1-phasig 230V weiß (ERGA04EV7) & Daikin Altherma 3 R F 4kW + 230 L (Altherma-EHVH04S23E6V),9639.0,EUR (1965.00 EUR & 7674.00 EUR),idealo & idealo,2025-03-14 & 2025-03-14,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,230.0,6.0,6.0,R32,"1,500 kg",42.0,58.0,42.0,58.0,-7.0,-10.0,35.0,0.8,2.0,10.0,10.0,8.0,0.0,179.0,129.0,4.54,5.66,,5300.0,4520.0,2690.0,1361.0,1.97,3.32,0
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 4KW (230L) (/A),ERGA04EV(A) / EHVH04S23E6V,26.03.2018,Daikin Altherma 3 R 07 Heizen & Kühlen 1-phasig 230V weiß (ERGA04EV7) & Daikin Altherma 3 R F 4kW + 230 L (Altherma-EHVH04S23E6V),9639.0,EUR (1965.00 EUR & 7674.00 EUR),idealo & idealo,2025-03-14 & 2025-03-14,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,230.0,6.0,6.0,R32,"1,500 kg",42.0,58.0,42.0,58.0,-7.0,-10.0,35.0,0.8,2.0,10.0,10.0,8.0,0.0,176.0,127.0,4.48,5.66,,5300.0,4520.0,2690.0,1361.0,1.97,3.32,0
